"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"3 years"	"3"	"2008"	"2008"	"Female"	"F"	1	1952383	Unreliable
	"3 years"	"3"	"2008"	"2008"	"Male"	"M"	0	2039937	Unreliable
"Total"	"3 years"	"3"	"2008"	"2008"			1	3992320	Unreliable
	"3 years"	"3"	"2009"	"2009"	"Female"	"F"	1	1969393	Unreliable
	"3 years"	"3"	"2009"	"2009"	"Male"	"M"	0	2056282	Unreliable
"Total"	"3 years"	"3"	"2009"	"2009"			1	4025675	Unreliable
	"3 years"	"3"	"2010"	"2010"	"Female"	"F"	0	2014490	Unreliable
	"3 years"	"3"	"2010"	"2010"	"Male"	"M"	1	2104550	Unreliable
"Total"	"3 years"	"3"	"2010"	"2010"			1	4119040	Unreliable
	"3 years"	"3"	"2011"	"2011"	"Female"	"F"	4	2007550	Unreliable
	"3 years"	"3"	"2011"	"2011"	"Male"	"M"	0	2094735	Unreliable
"Total"	"3 years"	"3"	"2011"	"2011"			4	4102285	Unreliable
	"3 years"	"3"	"2012"	"2012"	"Female"	"F"	1	1949929	Unreliable
	"3 years"	"3"	"2012"	"2012"	"Male"	"M"	2	2032511	Unreliable
"Total"	"3 years"	"3"	"2012"	"2012"			3	3982440	Unreliable
	"3 years"	"3"	"2013"	"2013"	"Female"	"F"	0	1953120	Unreliable
	"3 years"	"3"	"2013"	"2013"	"Male"	"M"	2	2036418	Unreliable
"Total"	"3 years"	"3"	"2013"	"2013"			2	3989538	Unreliable
	"3 years"	"3"	"2014"	"2014"	"Female"	"F"	0	1956572	Unreliable
	"3 years"	"3"	"2014"	"2014"	"Male"	"M"	0	2048618	Unreliable
"Total"	"3 years"	"3"	"2014"	"2014"			0	4005190	Unreliable
	"3 years"	"3"	"2015"	"2015"	"Female"	"F"	2	1943417	Unreliable
	"3 years"	"3"	"2015"	"2015"	"Male"	"M"	3	2030644	Unreliable
"Total"	"3 years"	"3"	"2015"	"2015"			5	3974061	Unreliable
	"3 years"	"3"	"2016"	"2016"	"Female"	"F"	3	1947408	Unreliable
	"3 years"	"3"	"2016"	"2016"	"Male"	"M"	1	2034666	Unreliable
"Total"	"3 years"	"3"	"2016"	"2016"			4	3982074	Unreliable
	"3 years"	"3"	"2017"	"2017"	"Female"	"F"	0	1956281	Unreliable
	"3 years"	"3"	"2017"	"2017"	"Male"	"M"	2	2050474	Unreliable
"Total"	"3 years"	"3"	"2017"	"2017"			2	4006755	Unreliable
	"3 years"	"3"	"2018"	"2018"	"Female"	"F"	0	1972327	Unreliable
	"3 years"	"3"	"2018"	"2018"	"Male"	"M"	0	2064235	Unreliable
"Total"	"3 years"	"3"	"2018"	"2018"			0	4036562	Unreliable
	"3 years"	"3"	"2019"	"2019"	"Female"	"F"	0	1955655	Unreliable
	"3 years"	"3"	"2019"	"2019"	"Male"	"M"	2	2043010	Unreliable
"Total"	"3 years"	"3"	"2019"	"2019"			2	3998665	Unreliable
"Total"	"3 years"	"3"					53	83261451	0.1
	"4 years"	"4"	"1999"	"1999"	"Female"	"F"	3	1926335	Unreliable
	"4 years"	"4"	"1999"	"1999"	"Male"	"M"	1	2020918	Unreliable
"Total"	"4 years"	"4"	"1999"	"1999"			4	3947253	Unreliable
	"4 years"	"4"	"2000"	"2000"	"Female"	"F"	2	1915665	Unreliable
	"4 years"	"4"	"2000"	"2000"	"Male"	"M"	1	2010658	Unreliable
"Total"	"4 years"	"4"	"2000"	"2000"			3	3926323	Unreliable
	"4 years"	"4"	"2001"	"2001"	"Female"	"F"	3	1871311	Unreliable
	"4 years"	"4"	"2001"	"2001"	"Male"	"M"	1	1956035	Unreliable
"Total"	"4 years"	"4"	"2001"	"2001"			4	3827346	Unreliable
	"4 years"	"4"	"2002"	"2002"	"Female"	"F"	1	1861887	Unreliable
	"4 years"	"4"	"2002"	"2002"	"Male"	"M"	0	1950720	Unreliable
"Total"	"4 years"	"4"	"2002"	"2002"			1	3812607	Unreliable
	"4 years"	"4"	"2003"	"2003"	"Female"	"F"	1	1864923	Unreliable
	"4 years"	"4"	"2003"	"2003"	"Male"	"M"	3	1951950	Unreliable
"Total"	"4 years"	"4"	"2003"	"2003"			4	3816873	Unreliable
	"4 years"	"4"	"2004"	"2004"	"Female"	"F"	2	1892670	Unreliable
	"4 years"	"4"	"2004"	"2004"	"Male"	"M"	1	1983939	Unreliable
"Total"	"4 years"	"4"	"2004"	"2004"			3	3876609	Unreliable
	"4 years"	"4"	"2005"	"2005"	"Female"	"F"	0	1971897	Unreliable
	"4 years"	"4"	"2005"	"2005"	"Male"	"M"	1	2058231	Unreliable
"Total"	"4 years"	"4"	"2005"	"2005"			1	4030128	Unreliable
	"4 years"	"4"	"2006"	"2006"	"Female"	"F"	1	1942684	Unreliable
	"4 years"	"4"	"2006"	"2006"	"Male"	"M"	0	2028196	Unreliable
"Total"	"4 years"	"4"	"2006"	"2006"			1	3970880	Unreliable
	"4 years"	"4"	"2007"	"2007"	"Female"	"F"	1	1953816	Unreliable
	"4 years"	"4"	"2007"	"2007"	"Male"	"M"	2	2044444	Unreliable
"Total"	"4 years"	"4"	"2007"	"2007"			3	3998260	Unreliable
	"4 years"	"4"	"2008"	"2008"	"Female"	"F"	3	1975431	Unreliable
	"4 years"	"4"	"2008"	"2008"	"Male"	"M"	3	2065739	Unreliable
"Total"	"4 years"	"4"	"2008"	"2008"			6	4041170	Unreliable
	"4 years"	"4"	"2009"	"2009"	"Female"	"F"	1	1970678	Unreliable
	"4 years"	"4"	"2009"	"2009"	"Male"	"M"	2	2062779	Unreliable
"Total"	"4 years"	"4"	"2009"	"2009"			3	4033457	Unreliable
	"4 years"	"4"	"2010"	"2010"	"Female"	"F"	0	1985620	Unreliable
	"4 years"	"4"	"2010"	"2010"	"Male"	"M"	0	2077550	Unreliable
"Total"	"4 years"	"4"	"2010"	"2010"			0	4063170	Unreliable
	"4 years"	"4"	"2011"	"2011"	"Female"	"F"	1	2015487	Unreliable
	"4 years"	"4"	"2011"	"2011"	"Male"	"M"	2	2106967	Unreliable
"Total"	"4 years"	"4"	"2011"	"2011"			3	4122454	Unreliable
	"4 years"	"4"	"2012"	"2012"	"Female"	"F"	2	2012570	Unreliable
	"4 years"	"4"	"2012"	"2012"	"Male"	"M"	2	2099777	Unreliable
"Total"	"4 years"	"4"	"2012"	"2012"			4	4112347	Unreliable
	"4 years"	"4"	"2013"	"2013"	"Female"	"F"	2	1954885	Unreliable
	"4 years"	"4"	"2013"	"2013"	"Male"	"M"	2	2036805	Unreliable
"Total"	"4 years"	"4"	"2013"	"2013"			4	3991690	Unreliable
	"4 years"	"4"	"2014"	"2014"	"Female"	"F"	0	1959950	Unreliable
	"4 years"	"4"	"2014"	"2014"	"Male"	"M"	2	2043498	Unreliable
"Total"	"4 years"	"4"	"2014"	"2014"			2	4003448	Unreliable
	"4 years"	"4"	"2015"	"2015"	"Female"	"F"	4	1964111	Unreliable
	"4 years"	"4"	"2015"	"2015"	"Male"	"M"	3	2055924	Unreliable
"Total"	"4 years"	"4"	"2015"	"2015"			7	4020035	Unreliable
	"4 years"	"4"	"2016"	"2016"	"Female"	"F"	1	1950127	Unreliable
	"4 years"	"4"	"2016"	"2016"	"Male"	"M"	1	2037529	Unreliable
"Total"	"4 years"	"4"	"2016"	"2016"			2	3987656	Unreliable
	"4 years"	"4"	"2017"	"2017"	"Female"	"F"	0	1953782	Unreliable
	"4 years"	"4"	"2017"	"2017"	"Male"	"M"	0	2042001	Unreliable
"Total"	"4 years"	"4"	"2017"	"2017"			0	3995783	Unreliable
	"4 years"	"4"	"2018"	"2018"	"Female"	"F"	0	1963164	Unreliable
	"4 years"	"4"	"2018"	"2018"	"Male"	"M"	1	2058004	Unreliable
"Total"	"4 years"	"4"	"2018"	"2018"			1	4021168	Unreliable
	"4 years"	"4"	"2019"	"2019"	"Female"	"F"	0	1976372	Unreliable
	"4 years"	"4"	"2019"	"2019"	"Male"	"M"	0	2066951	Unreliable
