"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"3 years"	"3"	"2016"	"2016"	"Male"	"M"	61	2034666	3.0
"Total"	"3 years"	"3"	"2016"	"2016"			106	3982074	2.7
	"3 years"	"3"	"2017"	"2017"	"Female"	"F"	30	1956281	1.5
	"3 years"	"3"	"2017"	"2017"	"Male"	"M"	50	2050474	2.4
"Total"	"3 years"	"3"	"2017"	"2017"			80	4006755	2.0
	"3 years"	"3"	"2018"	"2018"	"Female"	"F"	42	1972327	2.1
	"3 years"	"3"	"2018"	"2018"	"Male"	"M"	50	2064235	2.4
"Total"	"3 years"	"3"	"2018"	"2018"			92	4036562	2.3
	"3 years"	"3"	"2019"	"2019"	"Female"	"F"	30	1955655	1.5
	"3 years"	"3"	"2019"	"2019"	"Male"	"M"	38	2043010	1.9
"Total"	"3 years"	"3"	"2019"	"2019"			68	3998665	1.7
"Total"	"3 years"	"3"					2099	83261451	2.5
	"4 years"	"4"	"1999"	"1999"	"Female"	"F"	51	1926335	2.6
	"4 years"	"4"	"1999"	"1999"	"Male"	"M"	72	2020918	3.6
"Total"	"4 years"	"4"	"1999"	"1999"			123	3947253	3.1
	"4 years"	"4"	"2000"	"2000"	"Female"	"F"	44	1915665	2.3
	"4 years"	"4"	"2000"	"2000"	"Male"	"M"	64	2010658	3.2
"Total"	"4 years"	"4"	"2000"	"2000"			108	3926323	2.8
	"4 years"	"4"	"2001"	"2001"	"Female"	"F"	41	1871311	2.2
	"4 years"	"4"	"2001"	"2001"	"Male"	"M"	58	1956035	3.0
"Total"	"4 years"	"4"	"2001"	"2001"			99	3827346	2.6
	"4 years"	"4"	"2002"	"2002"	"Female"	"F"	58	1861887	3.1
	"4 years"	"4"	"2002"	"2002"	"Male"	"M"	59	1950720	3.0
"Total"	"4 years"	"4"	"2002"	"2002"			117	3812607	3.1
	"4 years"	"4"	"2003"	"2003"	"Female"	"F"	47	1864923	2.5
	"4 years"	"4"	"2003"	"2003"	"Male"	"M"	73	1951950	3.7
"Total"	"4 years"	"4"	"2003"	"2003"			120	3816873	3.1
	"4 years"	"4"	"2004"	"2004"	"Female"	"F"	56	1892670	3.0
	"4 years"	"4"	"2004"	"2004"	"Male"	"M"	53	1983939	2.7
"Total"	"4 years"	"4"	"2004"	"2004"			109	3876609	2.8
	"4 years"	"4"	"2005"	"2005"	"Female"	"F"	45	1971897	2.3
	"4 years"	"4"	"2005"	"2005"	"Male"	"M"	53	2058231	2.6
"Total"	"4 years"	"4"	"2005"	"2005"			98	4030128	2.4
	"4 years"	"4"	"2006"	"2006"	"Female"	"F"	42	1942684	2.2
	"4 years"	"4"	"2006"	"2006"	"Male"	"M"	58	2028196	2.9
"Total"	"4 years"	"4"	"2006"	"2006"			100	3970880	2.5
	"4 years"	"4"	"2007"	"2007"	"Female"	"F"	41	1953816	2.1
	"4 years"	"4"	"2007"	"2007"	"Male"	"M"	55	2044444	2.7
"Total"	"4 years"	"4"	"2007"	"2007"			96	3998260	2.4
	"4 years"	"4"	"2008"	"2008"	"Female"	"F"	52	1975431	2.6
	"4 years"	"4"	"2008"	"2008"	"Male"	"M"	59	2065739	2.9
"Total"	"4 years"	"4"	"2008"	"2008"			111	4041170	2.7
	"4 years"	"4"	"2009"	"2009"	"Female"	"F"	41	1970678	2.1
	"4 years"	"4"	"2009"	"2009"	"Male"	"M"	47	2062779	2.3
"Total"	"4 years"	"4"	"2009"	"2009"			88	4033457	2.2
	"4 years"	"4"	"2010"	"2010"	"Female"	"F"	39	1985620	2.0
	"4 years"	"4"	"2010"	"2010"	"Male"	"M"	50	2077550	2.4
"Total"	"4 years"	"4"	"2010"	"2010"			89	4063170	2.2
	"4 years"	"4"	"2011"	"2011"	"Female"	"F"	54	2015487	2.7
	"4 years"	"4"	"2011"	"2011"	"Male"	"M"	40	2106967	1.9
"Total"	"4 years"	"4"	"2011"	"2011"			94	4122454	2.3
	"4 years"	"4"	"2012"	"2012"	"Female"	"F"	44	2012570	2.2
	"4 years"	"4"	"2012"	"2012"	"Male"	"M"	63	2099777	3.0
"Total"	"4 years"	"4"	"2012"	"2012"			107	4112347	2.6
	"4 years"	"4"	"2013"	"2013"	"Female"	"F"	32	1954885	1.6
	"4 years"	"4"	"2013"	"2013"	"Male"	"M"	47	2036805	2.3
"Total"	"4 years"	"4"	"2013"	"2013"			79	3991690	2.0
	"4 years"	"4"	"2014"	"2014"	"Female"	"F"	48	1959950	2.4
	"4 years"	"4"	"2014"	"2014"	"Male"	"M"	48	2043498	2.3
"Total"	"4 years"	"4"	"2014"	"2014"			96	4003448	2.4
	"4 years"	"4"	"2015"	"2015"	"Female"	"F"	38	1964111	1.9
	"4 years"	"4"	"2015"	"2015"	"Male"	"M"	43	2055924	2.1
"Total"	"4 years"	"4"	"2015"	"2015"			81	4020035	2.0
	"4 years"	"4"	"2016"	"2016"	"Female"	"F"	51	1950127	2.6
	"4 years"	"4"	"2016"	"2016"	"Male"	"M"	51	2037529	2.5
"Total"	"4 years"	"4"	"2016"	"2016"			102	3987656	2.6
	"4 years"	"4"	"2017"	"2017"	"Female"	"F"	40	1953782	2.0
	"4 years"	"4"	"2017"	"2017"	"Male"	"M"	48	2042001	2.4
"Total"	"4 years"	"4"	"2017"	"2017"			88	3995783	2.2
	"4 years"	"4"	"2018"	"2018"	"Female"	"F"	38	1963164	1.9
	"4 years"	"4"	"2018"	"2018"	"Male"	"M"	57	2058004	2.8
"Total"	"4 years"	"4"	"2018"	"2018"			95	4021168	2.4
	"4 years"	"4"	"2019"	"2019"	"Female"	"F"	38	1976372	1.9
	"4 years"	"4"	"2019"	"2019"	"Male"	"M"	43	2066951	2.1
"Total"	"4 years"	"4"	"2019"	"2019"			81	4043323	2.0
"Total"	"4 years"	"4"					2081	83641980	2.5
	"5 years"	"5"	"1999"	"1999"	"Female"	"F"	51	1950892	2.6
	"5 years"	"5"	"1999"	"1999"	"Male"	"M"	72	2048870	3.5
"Total"	"5 years"	"5"	"1999"	"1999"			123	3999762	3.1
	"5 years"	"5"	"2000"	"2000"	"Female"	"F"	58	1934031	3.0
	"5 years"	"5"	"2000"	"2000"	"Male"	"M"	65	2031072	3.2
"Total"	"5 years"	"5"	"2000"	"2000"			123	3965103	3.1
	"5 years"	"5"	"2001"	"2001"	"Female"	"F"	47	1909212	2.5
	"5 years"	"5"	"2001"	"2001"	"Male"	"M"	45	2000821	2.2
"Total"	"5 years"	"5"	"2001"	"2001"			92	3910033	2.4
	"5 years"	"5"	"2002"	"2002"	"Female"	"F"	61	1876401	3.3
	"5 years"	"5"	"2002"	"2002"	"Male"	"M"	62	1960786	3.2
"Total"	"5 years"	"5"	"2002"	"2002"			123	3837187	3.2
